#term	rank	w or l
model-adaptive	1	w
planning-adaptive	2	w
adaptiveness	1	w
well-adapted	2	w
plan-then-adapt	3	w
mode-adaptive	3	w
self-adapting	3	w
situation-adaptive	3	w
task-adaptation	3	w
self-adapt	3	w
adaptive	3	w
change	2	w
influence	2	w
alter	2	w
flexible	2	w
repertoire	3	w
behavior	3	w
function	3	w
ability	1	w
new goal	3	w
module	3	w
modules	3	w
module(s)	3	w
textualizermodule	1	w
submodule	2	w
sub-module	2	w
submodules	2	w
sub-modules	2	w
multimodule	3	w
module-wise	2	w
four-module	3	w
memory-module	3	w
module-based	3	w
module-stacking	3	w
hyper-actor-module	1	w
dual-module	1	w
module	3	w
modularized	2	w
modules	3	w
modulation	2	w
modular	2	w
module(s)	3	w
modulating	2	w
textualizermodule	1	w
submodule	2	w
sub-module	2	w
submodules	2	w
modularity	2	w
sub-modules	2	w
modularised	2	w
modularisation	2	w
modulate	2	w
multimodule	3	w
modulated	2	w
self-modulated	3	w
modulatory	2	w
modulates	3	w
modularization	3	w
modulus	1	w
module-wise	2	w
modularize	2	w
modularly	2	w
four-module	3	w
modulo	3	w
memory-module	3	w
module-based	3	w
module-stacking	3	w
modularizing	2	w
hyper-actor-module	1	w
dual-module	1	w
highly-modularized	3	w
reward-modulated	2	w
modulations	3	w
modularizes	2	w
modular-based	3	w
modulation-based	3	w
neuro-modulation	1	w
complex agent system	3	w
agent system	3	w
embodied	3	w
embodied agent	3	w
embodied agents	3	w
individual	2	w
individual intelligence	3	w
learn*	3	w
single-agent	3	w
prior knowledge	2	w
flexib*	3	w
plan*	3	w
reflect*	3	w
util*	3	w
dynamics of the environment	3	w
world	2	w
dynamic alignment	3	w
reflex*	2	w
open-ended	3	w
local autonomy	2	w
multi-modal knowledge	3	w
open-ended environment	3	w
embodied multimodal model	3	w
physical actions	3	w
embodied action*	3	w
llm-based multi-agent	3	w
new tasks	3	w
autonomous agents	3	w
sandbox	3	w
execut*	3	w
long-term	3	w
adaptive planning	3	w
